SITENAME,Date,Type,mgC/g,mgN/g
SRS1d,2010-03-01,Belowground,413.20,8.60
SRS1d,2010-03-01,Belowground,409.20,11.10
SRS1d,2010-03-01,Belowground,475.40,4.70
SRS2,2010-03-01,Belowground,415.70,3.70
SRS2,2010-03-01,Belowground,378.40,6.00
SRS2,2010-03-01,Belowground,476.80,5.70
SRS3,2010-03-01,Belowground,384.50,12.20
SRS3,2010-03-01,Belowground,489.90,6.10
SRS3,2010-03-01,Belowground,387.90,8.60
SRS1d,2011-03-01,Aboveground,500.43,5.45
SRS1d,2011-03-01,Aboveground,435.56,6.32
SRS1d,2011-03-01,Aboveground,418.23,6.48
SRS2,2011-03-01,Aboveground,444.30,6.01
SRS2,2011-03-01,Aboveground,433.85,6.57
SRS2,2011-03-01,Aboveground,462.75,5.11
SRS3,2011-03-01,Aboveground,411.01,5.72
SRS3,2011-03-01,Aboveground,419.55,6.92
SRS3,2011-03-01,Aboveground,414.33,7.80
SRS1d,2011-03-01,Belowground,416.55,5.50
SRS1d,2011-03-01,Belowground,427.92,6.30
SRS1d,2011-03-01,Belowground,419.32,8.11
SRS2,2011-03-01,Belowground,428.88,4.92
SRS2,2011-03-01,Belowground,421.24,9.97
SRS2,2011-03-01,Belowground,428.57,5.44
SRS3,2011-03-01,Belowground,373.37,6.59
SRS3,2011-03-01,Belowground,407.75,5.27
SRS3,2011-03-01,Belowground,418.19,4.34
SRS1d,2012-03-01,Aboveground,451.14,5.67
SRS1d,2012-03-01,Aboveground,500.17,4.01
SRS1d,2012-03-01,Aboveground,438.93,4.36
SRS2,2012-03-01,Aboveground,469.80,5.04
SRS2,2012-03-01,Aboveground,448.73,3.59
SRS2,2012-03-01,Aboveground,410.87,4.94
SRS3,2012-03-01,Aboveground,444.23,5.54
SRS3,2012-03-01,Aboveground,425.61,5.03
SRS3,2012-03-01,Aboveground,444.22,6.57
SRS1d,2012-03-01,Belowground,397.84,3.89
SRS1d,2012-03-01,Belowground,440.72,2.29
SRS1d,2012-03-01,Belowground,488.38,2.93
SRS2,2012-03-01,Belowground,452.88,5.51
SRS2,2012-03-01,Belowground,408.08,5.75
SRS2,2012-03-01,Belowground,424.80,9.29
SRS3,2012-03-01,Belowground,402.86,6.71
SRS3,2012-03-01,Belowground,438.51,5.11
SRS3,2012-03-01,Belowground,417.39,7.59
SRS1d,2013-03-01,Aboveground,485.18,5.41
SRS1d,2013-03-01,Aboveground,485.16,5.27
SRS1d,2013-03-01,Aboveground,486.18,4.90
SRS2,2013-03-01,Aboveground,484.49,5.03
SRS2,2013-03-01,Aboveground,474.40,6.83
SRS2,2013-03-01,Aboveground,478.63,5.40
SRS3,2013-03-01,Aboveground,476.39,7.37
SRS3,2013-03-01,Aboveground,465.81,6.94
SRS3,2013-03-01,Aboveground,479.65,7.46
SRS1d,2013-03-01,Belowground,461.30,8.39
SRS1d,2013-03-01,Belowground,455.24,6.29
SRS1d,2013-03-01,Belowground,469.62,7.73
SRS2,2013-03-01,Belowground,468.27,13.70
SRS2,2013-03-01,Belowground,465.13,7.05
SRS2,2013-03-01,Belowground,462.97,12.64
SRS3,2013-03-01,Belowground,464.23,12.82
SRS3,2013-03-01,Belowground,445.73,12.39
SRS3,2013-03-01,Belowground,466.36,11.98
SRS1d,2014-03-01,Aboveground,474.38,6.30
SRS1d,2014-03-01,Aboveground,474.13,6.49
SRS1d,2014-03-01,Aboveground,476.21,7.07
SRS2,2014-03-01,Aboveground,473.46,7.25
SRS2,2014-03-01,Aboveground,475.87,7.47
SRS2,2014-03-01,Aboveground,479.14,7.99
SRS3,2014-03-01,Aboveground,478.38,8.44
SRS3,2014-03-01,Aboveground,468.40,8.01
SRS3,2014-03-01,Aboveground,464.90,7.90
SRS1d,2014-03-01,Belowground,468.22,5.34
SRS1d,2014-03-01,Belowground,467.67,9.09
SRS1d,2014-03-01,Belowground,451.42,8.46
SRS2,2014-03-01,Belowground,451.12,15.41
SRS2,2014-03-01,Belowground,445.35,14.20
SRS2,2014-03-01,Belowground,444.82,12.63
SRS3,2014-03-01,Belowground,451.86,11.57
SRS3,2014-03-01,Belowground,437.58,12.34
SRS3,2014-03-01,Belowground,457.24,9.18
SRS1d,2015-03-01,Aboveground,476.27,5.39
SRS1d,2015-03-01,Aboveground,480.48,6.37
SRS1d,2015-03-01,Aboveground,447.22,6.02
SRS2,2015-03-01,Aboveground,488.96,5.90
SRS2,2015-03-01,Aboveground,480.57,7.22
SRS2,2015-03-01,Aboveground,476.59,6.79
SRS3,2015-03-01,Aboveground,475.10,6.67
SRS3,2015-03-01,Aboveground,476.56,6.90
SRS3,2015-03-01,Aboveground,484.41,6.76
SRS1d,2015-03-01,Belowground,464.61,6.19
SRS1d,2015-03-01,Belowground,469.98,7.82
SRS1d,2015-03-01,Belowground,470.45,5.37
SRS2,2015-03-01,Belowground,457.80,9.15
SRS2,2015-03-01,Belowground,471.30,11.42
SRS2,2015-03-01,Belowground,467.76,8.01
SRS3,2015-03-01,Belowground,465.59,4.48
SRS3,2015-03-01,Belowground,464.83,6.02
SRS3,2015-03-01,Belowground,461.52,7.35
SRS1d,2016-03-01,Aboveground,472.46,6.41
SRS1d,2016-03-01,Aboveground,484.40,5.07
SRS1d,2016-03-01,Aboveground,471.95,7.20
SRS2,2016-03-01,Aboveground,478.49,4.70
SRS2,2016-03-01,Aboveground,475.43,5.47
SRS2,2016-03-01,Aboveground,487.05,4.69
SRS3,2016-03-01,Aboveground,477.63,5.45
SRS3,2016-03-01,Aboveground,477.29,8.23
SRS3,2016-03-01,Aboveground,472.08,7.71
SRS1d,2016-03-01,Belowground,447.73,7.72
SRS1d,2016-03-01,Belowground,455.33,7.80
SRS1d,2016-03-01,Belowground,460.97,6.18
SRS2,2016-03-01,Belowground,466.59,6.21
SRS2,2016-03-01,Belowground,463.10,5.30
SRS2,2016-03-01,Belowground,468.32,6.24
SRS3,2016-03-01,Belowground,459.54,5.58
SRS3,2016-03-01,Belowground,469.61,5.38
SRS3,2016-03-01,Belowground,467.13,7.54
SRS1d,2017-03-01,Aboveground,484.47,5.49
SRS1d,2017-03-01,Aboveground,483.52,5.72
SRS1d,2017-03-01,Aboveground,483.33,6.09
SRS2,2017-03-01,Aboveground,480.17,5.86
SRS2,2017-03-01,Aboveground,485.12,4.86
SRS2,2017-03-01,Aboveground,483.66,5.27
SRS3,2017-03-01,Aboveground,482.32,5.77
SRS3,2017-03-01,Aboveground,474.63,7.67
SRS3,2017-03-01,Aboveground,482.86,8.02
SRS1d,2017-03-01,Belowground,470.68,8.82
SRS1d,2017-03-01,Belowground,478.81,12.19
SRS1d,2017-03-01,Belowground,472.22,5.89
SRS2,2017-03-01,Belowground,477.58,7.79
SRS2,2017-03-01,Belowground,465.43,11.93
SRS2,2017-03-01,Belowground,475.40,10.65
SRS3,2017-03-01,Belowground,471.83,5.76
SRS3,2017-03-01,Belowground,474.62,8.86
SRS3,2017-03-01,Belowground,469.11,8.18
SRS1d,2018-03-01,Aboveground,475.89,4.87
SRS1d,2018-03-01,Aboveground,424.59,4.20
SRS1d,2018-03-01,Aboveground,449.14,4.21
SRS2,2018-03-01,Aboveground,483.19,6.02
SRS2,2018-03-01,Aboveground,464.08,4.94
